company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
TCS,3.7,82.6k,37,9.7k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.9,51.4k,28.2k,7.5k,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Cognizant,3.8,46.4k,519,5.3k,,Promotions / Appraisal
Wipro,3.7,46.2k,557,5.1k,Job Security,"Promotions / Appraisal, Salary & Benefits"
Capgemini,3.8,38.1k,1.1k,4.5k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
HDFC Bank,3.9,37k,194,2k,"Job Security, Skill Development / Learning",Promotions / Appraisal
ICICI Bank,4.0,36.2k,1,2.3k,"Job Security, Skill Development / Learning, Company Culture",
Infosys,3.7,35.7k,1.1k,7.1k,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
HCLTech,3.6,33k,185,3.5k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.6,30.3k,435,3.4k,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.9,28.8k,524,2.8k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Teleperformance,3.9,26.4k,313,1.7k,"Skill Development / Learning, Company Culture, Job Security",
Concentrix Corporation,3.8,24.6k,47,1.5k,Job Security,"Promotions / Appraisal, Salary & Benefits"
Axis Bank,3.8,23.9k,98,1.4k,,Promotions / Appraisal
Amazon,4.1,23.8k,89,4.8k,"Company Culture, Salary & Benefits, Work Life Balance",
Jio,3.9,21.4k,800,1.5k,"Job Security, Skill Development / Learning",Promotions / Appraisal
Reliance Retail,3.9,20.9k,24,1.4k,"Skill Development / Learning, Job Security",Promotions / Appraisal
IBM,4.1,20.9k,2.7k,2.3k,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
iEnergizer,4.7,19.4k,65,442,"Company Culture, Job Security, Skill Development / Learning",
